state_abv,county,county_fips,family,total_budget_avg,asian_hourly,white_hourly,black_hourly,hispanic_hourly,less_than_hs,high_school,associates_degree,bachelors_degree,advanced_degree,men_median,women_median
AK,Chugach Census Area,2063,1p1c,71292.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Chugach Census Area,2063,1p2c,91200.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Chugach Census Area,2063,1p3c,114504.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Chugach Census Area,2063,1p4c,127140.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Chugach Census Area,2063,2p0c,61116.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Chugach Census Area,2063,2p1c,85452.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Chugach Census Area,2063,2p2c,103716.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Chugach Census Area,2063,2p3c,124296.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Chugach Census Area,2063,2p4c,137952.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Copper River Census Area,2066,1p0c,43224.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Copper River Census Area,2066,1p1c,69144.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Copper River Census Area,2066,1p2c,89028.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Copper River Census Area,2066,1p3c,111732.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Copper River Census Area,2066,1p4c,124464.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Copper River Census Area,2066,2p0c,59688.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Copper River Census Area,2066,2p1c,83520.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Copper River Census Area,2066,2p2c,101760.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Copper River Census Area,2066,2p3c,121740.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Copper River Census Area,2066,2p4c,135420.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Denali Borough,2068,1p0c,47628.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Denali Borough,2068,1p1c,75876.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Denali Borough,2068,1p2c,97848.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Denali Borough,2068,1p3c,120276.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Denali Borough,2068,1p4c,132804.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Denali Borough,2068,2p0c,63444.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Denali Borough,2068,2p1c,89688.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Denali Borough,2068,2p2c,109944.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Denali Borough,2068,2p3c,129924.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Denali Borough,2068,2p4c,143424.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Dillingham Census Area,2070,1p0c,47160.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Dillingham Census Area,2070,1p1c,74712.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Dillingham Census Area,2070,1p2c,96768.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
AK,Dillingham Census Area,2070,1p3c,118560.0,29.87,25.97,20.11,19.93,17.47,22.94,26.08,43.26,55.33,25.43,21.96
