state_abv,county,family,total_budget_avg,asian_hourly,white_hourly,black_hourly,hispanic_hourly
AK,Hoonah-Angoon Census Area,2p2c,112044.0,29.87,25.97,20.11,19.93
AK,Hoonah-Angoon Census Area,2p3c,132864.0,29.87,25.97,20.11,19.93
AK,Hoonah-Angoon Census Area,2p4c,146424.0,29.87,25.97,20.11,19.93
AK,Juneau City and Borough,1p0c,50460.0,29.87,25.97,20.11,19.93
AK,Juneau City and Borough,1p1c,83508.0,29.87,25.97,20.11,19.93
AK,Juneau City and Borough,1p2c,108384.0,29.87,25.97,20.11,19.93
AK,Juneau City and Borough,1p3c,138900.0,29.87,25.97,20.11,19.93
AK,Juneau City and Borough,1p4c,150852.0,29.87,25.97,20.11,19.93
AK,Juneau City and Borough,2p0c,69252.0,29.87,25.97,20.11,19.93
AK,Juneau City and Borough,2p1c,96888.0,29.87,25.97,20.11,19.93
AK,Juneau City and Borough,2p2c,120132.0,29.87,25.97,20.11,19.93
AK,Juneau City and Borough,2p3c,147816.0,29.87,25.97,20.11,19.93
AK,Juneau City and Borough,2p4c,160980.0,29.87,25.97,20.11,19.93
AK,Kenai Peninsula Borough,1p0c,50184.0,29.87,25.97,20.11,19.93
AK,Kenai Peninsula Borough,1p1c,76968.0,29.87,25.97,20.11,19.93
AK,Kenai Peninsula Borough,1p2c,98508.0,29.87,25.97,20.11,19.93
AK,Kenai Peninsula Borough,1p3c,124776.0,29.87,25.97,20.11,19.93
AK,Kenai Peninsula Borough,1p4c,138948.0,29.87,25.97,20.11,19.93
AK,Kenai Peninsula Borough,2p0c,66876.0,29.87,25.97,20.11,19.93
AK,Kenai Peninsula Borough,2p1c,91620.0,29.87,25.97,20.11,19.93
AK,Kenai Peninsula Borough,2p2c,110436.0,29.87,25.97,20.11,19.93
AK,Kenai Peninsula Borough,2p3c,135360.0,29.87,25.97,20.11,19.93
AK,Kenai Peninsula Borough,2p4c,149364.0,29.87,25.97,20.11,19.93
AK,Ketchikan Gateway Borough,1p0c,49452.0,29.87,25.97,20.11,19.93
AK,Ketchikan Gateway Borough,1p1c,79044.0,29.87,25.97,20.11,19.93
AK,Ketchikan Gateway Borough,1p2c,101028.0,29.87,25.97,20.11,19.93
AK,Ketchikan Gateway Borough,1p3c,125964.0,29.87,25.97,20.11,19.93
AK,Ketchikan Gateway Borough,1p4c,139320.0,29.87,25.97,20.11,19.93
AK,Ketchikan Gateway Borough,2p0c,67572.0,29.87,25.97,20.11,19.93
AK,Ketchikan Gateway Borough,2p1c,92784.0,29.87,25.97,20.11,19.93
AK,Ketchikan Gateway Borough,2p2c,112224.0,29.87,25.97,20.11,19.93
AK,Ketchikan Gateway Borough,2p3c,136116.0,29.87,25.97,20.11,19.93
AK,Ketchikan Gateway Borough,2p4c,149256.0,29.87,25.97,20.11,19.93
AK,Kodiak Island Borough,1p0c,56076.0,29.87,25.97,20.11,19.93
AK,Kodiak Island Borough,1p1c,88920.0,29.87,25.97,20.11,19.93
AK,Kodiak Island Borough,1p2c,111300.0,29.87,25.97,20.11,19.93
AK,Kodiak Island Borough,1p3c,136632.0,29.87,25.97,20.11,19.93
AK,Kodiak Island Borough,1p4c,149880.0,29.87,25.97,20.11,19.93
AK,Kodiak Island Borough,2p0c,76068.0,29.87,25.97,20.11,19.93
AK,Kodiak Island Borough,2p1c,103656.0,29.87,25.97,20.11,19.93
AK,Kodiak Island Borough,2p2c,124548.0,29.87,25.97,20.11,19.93
AK,Kodiak Island Borough,2p3c,147012.0,29.87,25.97,20.11,19.93
AK,Kodiak Island Borough,2p4c,161376.0,29.87,25.97,20.11,19.93
AK,Kusilvak Census Area,1p0c,42384.0,29.87,25.97,20.11,19.93
AK,Kusilvak Census Area,1p1c,67140.0,29.87,25.97,20.11,19.93
AK,Kusilvak Census Area,1p2c,87576.0,29.87,25.97,20.11,19.93
AK,Kusilvak Census Area,1p3c,107100.0,29.87,25.97,20.11,19.93
AK,Kusilvak Census Area,1p4c,121200.0,29.87,25.97,20.11,19.93
AK,Kusilvak Census Area,2p0c,60108.0,29.87,25.97,20.11,19.93
AK,Kusilvak Census Area,2p1c,82512.0,29.87,25.97,20.11,19.93
AK,Kusilvak Census Area,2p2c,100632.0,29.87,25.97,20.11,19.93
AK,Kusilvak Census Area,2p3c,118596.0,29.87,25.97,20.11,19.93
AK,Kusilvak Census Area,2p4c,132684.0,29.87,25.97,20.11,19.93
AK,Lake and Peninsula Borough,1p0c,41496.0,29.87,25.97,20.11,19.93
AK,Lake and Peninsula Borough,1p1c,64284.0,29.87,25.97,20.11,19.93
AK,Lake and Peninsula Borough,1p2c,83700.0,29.87,25.97,20.11,19.93
AK,Lake and Peninsula Borough,1p3c,105804.0,29.87,25.97,20.11,19.93
AK,Lake and Peninsula Borough,1p4c,119292.0,29.87,25.97,20.11,19.93
AK,Lake and Peninsula Borough,2p0c,58452.0,29.87,25.97,20.11,19.93
AK,Lake and Peninsula Borough,2p1c,78408.0,29.87,25.97,20.11,19.93
AK,Lake and Peninsula Borough,2p2c,95952.0,29.87,25.97,20.11,19.93
